	SUM_factionKills	mean
2016-01-12	721379.0	220730833.333
2016-01-13	831691.0	220413566.667
2016-01-14	787412.0	223088333.333
2016-01-15	788098.0	220020533.333
2016-01-16	876720.0	220048833.333
2016-01-17	857619.0	220780233.333
2016-01-18	789442.0	219705500.0
2016-01-19	743316.0	218335766.667
2016-01-20	790141.0	220890800.0
2016-01-21	786854.0	220646800.0
2016-01-22	749066.0	218215833.333
2016-01-23	787129.0	216187166.667
2016-01-24	873616.0	214126333.333
2016-01-25	789280.0	211929900.0
2016-01-26	743920.0	215013766.667
2016-01-27	817923.0	214424700.0
2016-01-28	837694.0	214938566.667
2016-01-29	749467.0	233299233.333
2016-01-30	910823.0	215567400.0
2016-01-31	925713.0	215650100.0
2016-02-01	898405.0	214524966.667
2016-02-02	881565.0	213550333.333
